"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.spring.ChangeSpringPropertyKey","8","2","0","0.0","0","83225040","118752.0","1039820"
"org.openrewrite.maven.AddPlugin","8","2","0","0.0","0","2515","632.0","631"
"org.openrewrite.java.testing.mockito.PowerMockitoWhenNewToMockito","8","2","0","0.0","0","10901","2424.0","2335"
"org.openrewrite.java.testing.junit5.UpdateBeforeAfterAnnotations","8","2","0","0.0","0","291937","147448.0","143159"
"org.openrewrite.java.spring.boot2.MigrateUndertowServletWebServerFactorySetEagerInitFilters","8","2","13534","4848.0","4699","8516","2656.0","2675"
"org.openrewrite.java.testing.junit5.AddHamcrestJUnitDependency","8","2","2227427","811008.0","806393","35058","15232.0","14888"
"org.openrewrite.java.ReorderMethodArguments","8","2","0","0.0","0","505987","73712.0","73658"
"org.openrewrite.java.spring.data.RefactorSimpleMongoDbFactory","8","2","0","0.0","0","83305","21496.0","21079"
"org.openrewrite.java.springdoc.MigrateSpringdocCommon","8","2","9317","2544.0","2465","8747","3040.0","3056"
"org.openrewrite.maven.RemovePluginDependency","8","2","0","0.0","0","766808","786424.0","764755"
"org.openrewrite.openapi.swagger.MigrateApiModelPropertyToSchema","8","2","8665","2544.0","2555","12614","3296.0","3256"
"org.openrewrite.java.spring.boot2.MergeBootstrapYamlWithApplicationYaml","8","2","571141","195584.0","192952","36037","11136.0","10960"
"org.openrewrite.java.testing.junit5.MockitoJUnitToMockitoExtension","8","2","0","0.0","0","155002","69624.0","69130"
"org.openrewrite.java.testing.hamcrest.AddHamcrestIfUsed","8","2","12255","3040.0","3046","16671","5856.0","5731"
"org.openrewrite.java.springdoc.SpringFoxToSpringDoc","8","2","11200","3184.0","3115","9145","3440.0","3426"
"org.openrewrite.java.ChangeMethodName","8","2","0","0.0","0","10173025","589816.0","614472"
"org.openrewrite.java.testing.junit5.UseXMLUnitLegacy","8","2","0","0.0","0","51145","45024.0","44854"
"org.openrewrite.openapi.swagger.MigrateApiParamToParameter","8","2","10300","4080.0","4057","12544","3168.0","3106"
"org.openrewrite.java.testing.arquillian.ArquillianJUnit4ToArquillianJUnit5","8","2","0","0.0","0","27293","19424.0","18865"
"org.openrewrite.java.spring.data.MigrateAuditorAwareToOptional","8","2","0","0.0","0","129033","55280.0","54392"
"org.openrewrite.java.spring.boot2.SpringBootMavenPluginMigrateAgentToAgents","8","2","0","0.0","0","1397882","1441776.0","1394706"
"org.openrewrite.java.springdoc.SwaggerToSpringDoc","8","2","7823","2800.0","2695","5961","2544.0","2535"
"org.openrewrite.java.testing.dbrider.MigrateDbRiderSpringToDbRiderJUnit5","8","2","0","0.0","0","21840","13792.0","13806"
"org.openrewrite.maven.ExcludeDependency","8","2","0","0.0","0","1526733","1015776.0","991239"
"org.openrewrite.java.springdoc.ReplaceSpringFoxDependencies","8","2","22021","10208.0","10219","7333","2800.0","2725"
"org.openrewrite.java.testing.junit5.UpdateMockWebServer","8","2","0","0.0","0","86443","38896.0","37670"
"org.openrewrite.java.spring.framework.UseObjectUtilsIsEmpty","8","2","19086","9712.0","9558","10370","3424.0","3376"
"org.openrewrite.java.ChangeMethodTargetToStatic","8","2","0","0.0","0","157141","31736.0","31449"
"org.openrewrite.openapi.swagger.ConvertApiResponseCodesToStrings","8","2","0","0.0","0","117810","53240.0","52598"
"org.openrewrite.java.ChangeType","8","2","0","0.0","0","51911185","475072.0","755998"
"org.openrewrite.java.testing.mockito.MockitoJUnitRunnerToExtension","8","2","0","0.0","0","73505","17392.0","16460"
"org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_7","8","2","7142","2672.0","2655","21177","12768.0","12614"
"org.openrewrite.java.spring.framework.MigrateUtf8MediaTypes","8","2","0","0.0","0","194165","47088.0","45506"
"org.openrewrite.openapi.swagger.MigrateApiOperationToOperation","8","2","11693","5624.0","5541","11171","2528.0","2435"
"org.openrewrite.java.spring.data.MigrateJpaSort","8","2","0","0.0","0","1033176","163824.0","156073"
"org.openrewrite.java.testing.junit5.TestRuleToTestInfo","8","2","0","0.0","0","83639","42992.0","42960"
"org.openrewrite.java.spring.boot2.ChangeEmbeddedServletContainerCustomizer","8","2","0","0.0","0","190146","73712.0","71915"
"org.openrewrite.openapi.swagger.MigrateApiImplicitParam","8","2","0","0.0","0","34434","8176.0","8015"
"org.openrewrite.java.testing.junit5.ThrowingRunnableToExecutable","8","2","0","0.0","0","20569","11232.0","10941"
"org.openrewrite.java.spring.doc.RemoveBeanValidatorPluginsConfiguration","8","2","0","0.0","0","148828","65520.0","64601"
"org.openrewrite.java.testing.junit5.ExcludeJUnit4UnlessUsingTestcontainers","8","2","0","0.0","0","47260","42992.0","41949"
"org.openrewrite.java.testing.mockito.MockitoWhenOnStaticToMockStatic","8","2","0","0.0","0","14939","4088.0","3977"
"org.openrewrite.java.testing.mockito.CleanupMockitoImports","8","2","0","0.0","0","46258","15856.0","15679"
